front,back,formula,source,tags,analogy,key_insight,technical,connections,practical,extra
What is K-means++ initialization?,Smart initialization that chooses initial centroids far apart to improve convergence,,Clustering,k-means initialization k-means++,,,,,,"First centroid random, subsequent ones chosen proportional to squared distance from nearest existing centroid"
What are the main limitations of K-means?,"Assumes spherical clusters, sensitive to initialization, requires pre-specifying k, sensitive to outliers",,Clustering,k-means limitations,,,,,,"Struggles with varying cluster sizes, non-spherical clusters, and different densities"
What is ROC curve?,Plot of True Positive Rate vs False Positive Rate at various classification thresholds,"\[TPR = \frac{TP}{TP+FN}, FPR = \frac{FP}{FP+TN}\]",Evaluation,evaluation ROC classification,,,,,,Shows trade-off between sensitivity and specificity across all thresholds
What is AUC in classification?,Area Under ROC Curve - measures model's ability to distinguish between classes (0.5-1.0),,Evaluation,evaluation AUC classification,,,,,"Good baseline metric, but supplement with precision-recall for imbalanced datasets",
What is R² (coefficient of determination)?,Measures proportion of variance in dependent variable explained by independent variables,\[R^2 = 1 - \frac{SS_{res}}{SS_{tot}}\],Evaluation,evaluation r-squared regression,,,,,,"R² = 1 means perfect fit, R² = 0 means model no better than mean"
What are residuals in regression?,Differences between observed and predicted values used to assess model assumptions,\[e_i = y_i - \hat{y_i}\],Evaluation,regression residuals evaluation,,,,,,"Residual plots help identify heteroscedasticity, non-linearity, and outliers"
What are Type I and Type II errors?,Type I: False Positive (rejecting true null hypothesis). Type II: False Negative (accepting false null hypothesis),,Statistics,statistics type-1-error type-2-error,,,,,,Trade-off controlled by decision threshold - lowering threshold reduces Type II but increases Type I
What is statistical significance in ML?,Measure of whether observed difference in model performance is likely due to chance,,Statistics,statistics significance hypothesis-testing,,,,,,Use paired t-test on CV scores or McNemars test for classification comparisons
What is data leakage?,Information from future or target variable inappropriately leaking into features during training,,Data Preprocessing,data-leakage preprocessing,,,,,,"Prevent by proper train/test split timing, avoiding future information, careful feature engineering"
What is hyperparameter tuning?,Process of finding optimal hyperparameter values using techniques like grid search or random search,,Model Selection,hyperparameter-tuning optimization model-selection,,,,,,Use nested cross-validation to avoid overfitting to validation set
How to handle class imbalance?,"Use techniques like SMOTE, stratified sampling, cost-sensitive learning, or balanced evaluation metrics",,Classification,classification class-imbalance,,,,,,"Accuracy can be misleading with imbalanced data - use precision, recall, F1-score instead"
What is silhouette score?,Cluster validation metric measuring how similar points are to their own cluster vs other clusters,"\[s(i) = \frac{b(i) - a(i)}{\max(a(i), b(i))}\]",Clustering,clustering silhouette-score validation,,,,,,"Values range from -1 to 1, higher values indicate better clustering"
What is feature importance in ML?,Measure of how much each feature contributes to model predictions,,Model Interpretability,feature-importance interpretability,,,,,,"Can be calculated using permutation importance, SHAP values, or model-specific methods"
What is the difference between bagging and boosting?,"Bagging trains models in parallel on bootstrap samples. Boosting trains models sequentially, each correcting previous errors",,Ensemble Methods,ensemble bagging boosting,,,,,,"Bagging reduces variance (Random Forest), boosting reduces bias (AdaBoost, XGBoost)"
What is hard vs soft voting in ensembles?,Hard voting: majority class vote. Soft voting: average predicted probabilities,,Ensemble Methods,ensemble voting,,,,,,Soft voting generally performs better when base models output calibrated probabilities
What is automatic differentiation in PyTorch?,Computational technique that automatically computes gradients for backpropagation,,PyTorch,pytorch automatic-differentiation,,,,,,Tracks operations on tensors to build computational graph for gradient computation
What are PyTorch tensors?,Multi-dimensional arrays similar to NumPy arrays but with GPU acceleration and automatic differentiation,,PyTorch,pytorch tensors,,,,,,Foundation of PyTorch - support operations needed for neural network computations
What is the key relationship between sigmoid and tanh activation functions?,"tanh(a) = 2×σ(2a) - 1, where σ is the sigmoid function",\[\tanh(a) = 2 \cdot \frac{1}{1 + e^{-2a}} - 1 = \frac{e^a - e^{-a}}{e^a + e^{-a}}\],Assignment 10 - Activation Functions,activation-functions sigmoid tanh neural-networks,"Like two different temperature scales - Celsius (tanh: -1 to 1) vs a shifted scale (sigmoid: 0 to 1). Both measure the same thing but with different ranges.

KEY INSIGHT: Tanh is a scaled and shifted version of sigmoid. The zero-centered property of tanh often makes training more stable.",Tanh is a scaled and shifted version of sigmoid. The zero-centered property of tanh often makes training more stable.,"Tanh outputs range from -1 to 1 (zero-centered), while sigmoid outputs range from 0 to 1. Mathematical relationship: tanh(a) = 2×σ(2a) - 1.","Both are sigmoid-shaped functions, related to logistic function, hyperbolic functions","Zero-centered tanh prevents bias in gradient directions, especially important in deeper networks where gradients accumulate.",
Why can't a single neuron solve the XOR problem?,"A single neuron can only create linear decision boundaries, but XOR requires a non-linear boundary to separate the classes","\[\text{XOR: } (0,0) \rightarrow 0, (0,1) \rightarrow 1, (1,0) \rightarrow 1, (1,1) \rightarrow 0\]",Assignment 10 - Single Neuron Limitations,xor-problem linear-separability single-neuron limitations,"Like trying to separate two interleaved chess patterns with a single straight line - impossible! You need at least two lines (two neurons) to create the required non-linear boundary.

KEY INSIGHT: XOR is the simplest non-linearly separable problem, highlighting the fundamental limitation of linear models.

TECHNICAL ANALYSIS:
• Points (0,1) and (1,0) both output 1 (positive class)
• Points (0,0) and (1,1) both output 0 (negative class)
• These points are diagonally opposite - no single line can separate them
• Any linear classifier will misclassify at least one point

HISTORICAL SIGNIFICANCE:
• Minsky & Papert (1969) showed perceptron limitations
• Led to 'AI Winter' as single-layer networks seemed insufficient
• Motivated development of multi-layer perceptrons
• Sparked backpropagation algorithm development

SOLUTION REQUIRES:
• At least 2 hidden neurons to create required decision regions
• Non-linear activation functions
• Multiple layers for hierarchical feature learning","XOR is the simplest non-linearly separable problem, highlighting the fundamental limitation of linear models.

TECHNICAL ANALYSIS:
• Points (0,1) and (1,0) both output 1 (positive class)
• Points (0,0) and (1,1) both output 0 (negative class)
• These points are diagonally opposite - no single line can separate them
• Any linear classifier will misclassify at least one point

HISTORICAL SIGNIFICANCE:
• Minsky & Papert (1969) showed perceptron limitations
• Led to 'AI Winter' as single-layer networks seemed insufficient
• Motivated development of multi-layer perceptrons
• Sparked backpropagation algorithm development

SOLUTION REQUIRES:
• At least 2 hidden neurons to create required decision regions
• Non-linear activation functions
• Multiple layers for hierarchical feature learning",,"Related to linear separability, convex hulls, universal approximation theorem

BROADER LESSON: Demonstrates why depth and non-linearity are essential for neural networks",,
What is the forward propagation formula for a single neuron?,"z = Σ(wi × xi) + b, then output = σ(z) where σ is the activation function",\[z = \mathbf{w}^T \mathbf{x} + b \quad \text{and} \quad y = \sigma(z) = \frac{1}{1 + e^{-z}}\],Assignment 10 - Single Neuron,forward-propagation neuron weighted-sum activation,"Like a factory assembly line where raw materials (inputs) get weighted, combined, and then processed through a transformation machine (activation function) to produce the final product (output).

KEY INSIGHT: Forward propagation is the fundamental computation in neural networks - a two-step process of linear combination followed by non-linear transformation.",Forward propagation is the fundamental computation in neural networks - a two-step process of linear combination followed by non-linear transformation.,"First compute weighted sum z = w^T x + b (linear transformation), then apply activation function σ(z) (non-linear transformation). The bias b shifts the activation threshold.","Foundation for backpropagation, generalizes to multi-layer networks, similar to biological neuron firing","Without the activation function, multiple layers would collapse to a single linear transformation, eliminating the network's ability to learn complex patterns.",
What is the key insight behind backpropagation in neural networks?,"Use the chain rule to compute gradients layer by layer, propagating error backwards from output to input",\[\frac{\partial L}{\partial w_i} = \frac{\partial L}{\partial z} \cdot \frac{\partial z}{\partial w_i} = \delta \cdot x_i\],Assignment 10 - Backpropagation,backpropagation chain-rule gradients training,"Like tracing responsibility for a mistake backwards through a company hierarchy - 'How much did each department contribute to the final error?'

KEY INSIGHT: Backpropagation applies calculus chain rule to efficiently compute gradients in multi-layer networks, making deep learning tractable.","Backpropagation applies calculus chain rule to efficiently compute gradients in multi-layer networks, making deep learning tractable.","The error signal δ flows backwards through the network, with each layer computing its contribution to the total error. Algorithm complexity is O(n) where n is network size.","Foundation of deep learning, enables gradient descent optimization, relates to automatic differentiation","This algorithm's efficiency made training deep networks practical and sparked the deep learning revolution. Without it, we'd be stuck with shallow networks.",
